lat,lon
54.0134178,8.2232665
53.9931889,8.2206916
53.9459056,7.7594406
54.0292438,7.5638663
53.918936,6.9611695
53.8972836,6.8088771
53.8756199,6.6565848
53.8539451,6.5042924
53.832259,6.352
53.8059913,6.2162222
53.7797071,6.0804444
53.7534065,5.9446667
53.7270894,5.8088889
53.7007558,5.6731111
53.6744058,5.5373333
53.6480392,5.4015556
53.6216561,5.2657778
53.5952566,5.13
53.5684489,5.0190025
53.5423654,4.9093617
53.5162659,4.7998876
53.4198693,4.6995548
53.1220857,4.3095
52.6463756,3.8982585
52.5351696,3.7808656
52.3480014,3.4336667
52.4010141,3.2810344
52.1668363,2.9665833
51.96,2.7600000000000193
51.637281,2.2302059
51.5883777,2.1570613
51.5394218,2.0839167
51.4774287,2.0018334
51.4153512,1.91975
51.353448,1.8687361
51.291461,1.8177222
51.2149845,1.8168334
50.9917449,1.3638611
50.9315838,1.2605833
50.8713448,1.1573056
50.8110278,1.0540278
50.7589469,0.9346875
50.706808,0.8153472
50.654611,0.6960069
50.5812753,0.4537
50.5601852,0.3307333
50.3962836,0.4402024
50.3205244,0.0351667
50.28,-0.23999999999998067
50.22,-0.539999999999992
50.160000000000004,-0.8400000000000034
50.099999999999994,-1.1399999999999864
50.04,-1.4399999999999977
49.980000000000004,-1.740000000000009
49.919999999999995,-2.039999999999992
49.9109886,-2.3747615
49.8551173,-2.6982836
49.56,-2.8799999999999955
49.44,-3.180000000000007
49.32,-3.4799999999999898
49.2,-3.780000000000001
49.08,-4.079999999999984
48.96,-4.3799999999999955
48.84,-4.680000000000007
48.72,-4.9199999999999875
48.6473099,-5.2297966
48.5030821,-5.4141192
48.120000000000005,-5.5800000000000125
47.879999999999995,-5.759999999999991
47.64,-5.939999999999998
47.4,-6.1200000000000045
47.160000000000004,-6.300000000000011
46.92,-6.480000000000018
46.68,-6.659999999999997
46.44,-6.840000000000003
46.199999999999996,-7.02000000000001
45.96,-7.200000000000017
45.72,-7.3799999999999955
45.480000000000004,-7.560000000000002
45.24,-7.740000000000009
45.0,-7.920000000000016
44.76,-8.099999999999994
44.52,-8.280000000000001
44.28,-8.460000000000008
44.04,-8.640000000000015
43.800000000000004,-8.820000000000022
43.620000000000005,-9.060000000000002
43.440000000000005,-9.299999999999983
43.3708346,-9.6633333
43.13999999999999,-9.420000000000016
42.839999999999996,-9.420000000000016
42.54,-9.420000000000016
42.24,-9.420000000000016
41.94,-9.420000000000016
41.64,-9.47999999999999
41.34,-9.47999999999999
41.04,-9.54000000000002
40.74,-9.54000000000002
40.440000000000005,-9.599999999999994
40.13999999999999,-9.599999999999994
39.839999999999996,-9.659999999999997
39.54,-9.719999999999999
39.24,-9.719999999999999
38.8651667,-9.7262778
38.6319169,-9.8323333
38.34,-9.780000000000001
38.04,-9.840000000000003
37.74,-9.840000000000003
37.440000000000005,-9.900000000000006
37.13999999999999,-9.900000000000006
36.9500002,-9.6886667
36.839999999999996,-9.900000000000006
36.9500002,-9.6886667
36.7510011,-9.6311667
36.54,-9.900000000000006
36.3,-10.019999999999982
36.0,-10.019999999999982
